ID,repoID,reponame,gedcom,addressID,changedate,changedby
401,REPO35,http://www.geocities.com/cann_america/05mass.htm,Earlylds,0,"2007-02-10 10:34:36",Larry
400,REPO34,http://contentdm.lib.byu.edu/cdm4/document.php?CISOROOT=/byustudies&CISOPTR=25588,Earlylds,0,"2007-02-10 10:34:36",Larry
399,REPO33,http://www.cyberdriveillinois.com/GenealogyMWeb/IDPHDeathSearchServlet,Earlylds,0,"2007-02-10 10:34:36",Larry
398,REPO32,"Daughters of the Utah Pioneers Museum and Gift Store",Earlylds,142,"2007-02-10 10:34:36",Larry
397,REPO31,http://www.rootsweb.com/~utsaltla/obit_DeseretNews_1850s.html,Earlylds,0,"2007-02-10 10:34:36",Larry
396,REPO30,http://lib.byu.edu,Earlylds,141,"2007-02-10 10:34:36",Larry
395,REPO29,"J. Willard Marriott Library, U. of U.",Earlylds,140,"2007-02-10 10:34:36",Larry
394,REPO28,http://members.aol.com/RDown3657/page1.html,Earlylds,0,"2007-02-10 10:34:36",Larry
393,REPO27,"Sarah Granger Kimball Home, Nauvoo, Illinois",Earlylds,139,"2007-02-10 10:34:36",Larry
392,REPO26,http://www.southernutah.com,Earlylds,0,"2007-02-10 10:34:36",Larry
391,REPO25,http://www.bsmarkham.com/julie/tellebook.html,Earlylds,0,"2007-02-10 10:34:36",Larry
390,REPO24,http://www.rootsweb.com/%7Eutsaltla/obit_DeseretNewsSW.html,Earlylds,0,"2007-02-10 10:34:36",Larry
389,REPO23,http://www.shipbrooklyn.org/passenger.html,Earlylds,0,"2007-02-10 10:34:36",Larry
388,REPO22,"Utah State Archives",Earlylds,138,"2007-02-10 10:34:36",Larry
387,REPO21,"LDS Church Archives",Earlylds,137,"2007-02-10 10:34:36",Larry
386,REPO20,http://www.accessgenealogy.com/cemetery/wisconsin/richland_county.htm,Earlylds,0,"2007-02-10 10:34:36",Larry
385,REPO19,http://www.farwesthistory.com,Earlylds,0,"2007-02-10 10:34:36",Larry
384,REPO18,"New England Historic Genealogical Society",Earlylds,136,"2007-02-10 10:34:36",Larry
383,REPO17,http://abish.byui.edu/specialCollections/westernStates/search.cfm,Earlylds,0,"2014-10-20 13:45:46",Larry
382,REPO16,http://www.mormonbattalion.com/history/roster.html,Earlylds,0,"2007-02-10 10:34:36",Larry
381,REPO15,http://www.lds.org,Earlylds,0,"2007-02-10 10:34:36",Larry
380,REPO14,"Mormon Trails Visitor Center",Earlylds,135,"2007-02-10 10:34:36",Larry
379,REPO13,"Godfrey Memorial Library",Earlylds,134,"2007-02-10 10:34:36",Larry
378,REPO12,http://www.Utah.gov,Earlylds,0,"2007-02-10 10:34:36",Larry
377,REPO11,http://server.aeal14.k12.ia.us/SP/bbrown/Bev.html#monument,Earlylds,0,"2007-02-10 10:34:36",Larry
376,REPO10,http://iagenweb.org/pottawattamie/hist-mormonsettlements.htm,Earlylds,0,"2007-02-10 10:34:36",Larry
375,REPO9,http://worldconnect.rootsweb.com/,Earlylds,0,"2007-02-10 10:34:36",Larry
374,REPO8,http://www.ancestry.com,Earlylds,0,"2007-02-10 10:34:36",Larry
373,REPO7,"Nauvoo Historical Records 1839-1846",Earlylds,133,"2007-02-10 10:34:36",Larry
372,REPO6,"Nauvoo Family History Center",Earlylds,132,"2007-02-10 10:34:36",Larry
371,REPO5,http://www.pioneerresearchgroup.org,Earlylds,0,"2007-02-10 10:34:36",Larry
370,REPO4,"Family History Library",Earlylds,131,"2007-02-10 10:34:36",Larry
369,REPO3,"Family History Library",Earlylds,177,"2015-03-20 17:23:51",Larry
368,REPO2,"Harold B. Lee Library, BYU",Earlylds,129,"2007-02-10 10:34:36",Larry
367,REPO1,http://www.familysearch.org/,Earlylds,0,"2007-02-10 10:34:36",Larry
402,REPO36,"Thayer Memorial Library",Earlylds,143,"2007-02-10 10:34:36",Larry
403,REPO37,"Woburn Public Library",Earlylds,144,"2007-02-10 10:34:36",Larry
404,REPO38,http:/www.Genealogy.com,Earlylds,0,"2007-02-10 10:34:36",Larry
405,REPO39,http://www.rootsweb.com,Earlylds,0,"2007-02-10 10:34:36",Larry
406,REPO40,"U.S. Department of Veterans Affairs",Earlylds,145,"2007-02-10 10:34:36",Larry
407,REPO41,http://vitals.rootsweb.com/ca/death/search.cgi,Earlylds,0,"2007-02-10 10:34:36",Larry
408,REPO42,http://www.georgetownhistoricalsociety.com/GtGen/johnspofford.html.,Earlylds,0,"2007-02-10 10:34:36",Larry
409,REPO43,"Massachusetts State Archives",Earlylds,146,"2007-02-10 10:34:36",Larry
410,REPO44,http://www.rootsweb.com/~moatchis/Kathleen/kathleen.html,Earlylds,0,"2007-02-10 10:34:36",Larry
411,REPO45,http://www.infouga.org,Earlylds,0,"2007-02-10 10:34:36",Larry
412,REPO46,http://patriot.lib.byu.edu/cdm4/document.php?CISOEOOR=FH9&CISOPTR=77071,Earlylds,0,"2007-02-10 10:34:36",Larry
413,REPO47,http://www.cyberdriveillinois.com/departments/archives/databases/marriage.html,Earlylds,0,"2014-10-20 13:41:28",Larry
414,REPO48,http://iagenweb.org/madison/,Earlylds,0,"2014-10-20 13:49:23",Larry
415,REPO49,http://mormonhistoricsites.org/wp-content/uploads/2013/05/MHS2.1Ward.pdf,Earlylds,0,"2014-10-23 15:36:12",Larry
416,REPO50,"http://glorecords.blm.gov/patent search/",Earlylds,0,"2007-02-10 10:34:36",Larry
417,REPO51,"Pioneer Research Library at the Trail Center at Historic Winter Quarters",Earlylds,148,"2009-05-24 00:35:35",foxgen
418,REPO52,http://www.isdar.org/chapters/nancymckayharsh/history.html,Earlylds,0,"2013-06-21 12:29:32",FoxGen
462,REPO160003,"Pioneer Resource Library at Mormon Trail Center at Historic Winter Quarters",Earlylds,180,"2015-04-22 15:22:46",Larry
461,REPO160002,familysearch.org,Earlylds,0,"2015-04-22 15:22:46",Larry
460,REPO160001,http://www.lds.org,Earlylds,0,"2015-04-22 15:22:46",Larry
