ID,gedcom,sourceID,callnum,type,title,author,publisher,other,shorttitle,comments,actualtext,repoID,changedate,changedby
2296,Earlylds,S242,,,"USA - Illinois - Hancock County Tax Records",,,,,,,REPO7,"0000-00-00 00:00:00",Larry
56140,Earlylds,S54086,,,"Book - My Best for the Kingdom: History and Autobiography of John Lowe Butler","William G; Hartley","Aspen Books, Salt Lake City, Utah",,"My Best for the Kingdom -John Lowe Butler History",,,REPO51,"2009-05-25 22:38:52",foxgen
2289,Earlylds,S235,,,"USA - Illinois - Nauvoo Sexton Record of Burials, 1839-1846",,,,,,,REPO7,"0000-00-00 00:00:00",Larry
2283,Earlylds,S229,,,"LDS - Seventies Ordained After 1849, Autobiographies",,"LDS Church Archives",,,,,REPO3,"0000-00-00 00:00:00",Larry
2278,Earlylds,S224,,,"Book - A Grave Experience at the Mormon Pioneer Winter Quarters Cemetery","Jensen, Carlye B. and Gail George Holmes","Oct 1999",,,,,REPO14,"0000-00-00 00:00:00",Larry
2276,Earlylds,S222,,,"LDS - Seventies Records, Autobiographies",,"LDS Church Archives",,,,,REPO3,"0000-00-00 00:00:00",Larry
2271,Earlylds,S217,,,"Family History Research",,,,,,,,"0000-00-00 00:00:00",Larry
2270,Earlylds,S216,"FHL Film # 26418 Items 1-4",,"LDS - Record of members, [1860]-1950","Church of Jesus Christ of Latter-day Saints, Pine Valley Ward (Utah)","Salt Lake City, Utah : Filmed by the Genealogical Society of Utah, 1952",,,,,REPO4,"0000-00-00 00:00:00",Larry
2269,Earlylds,S215,"FHL Film #889413 Items 2-5, Index Item1",,"LDS - Lehi (Utah) Ward Records, Record of members, 1851-1903","Church of Jesus Christ of Latter-day Saints, Lehi Ward (Utah)","Salt Lake City, Utah : Filmed by the LDS Church Historian's Office, 1969",,,,,REPO4,"0000-00-00 00:00:00",Larry
2268,Earlylds,S214,"Manuscript Collection 1130 HBLL MSS SC 857",,"Manuscript - William Snow Journal","Snow William 1806-1879",,,,,,REPO2,"0000-00-00 00:00:00",Larry
2266,Earlylds,S212,,,"Periodical - Utah Genealogical and Historical Magazine",,,,,,,REPO2,"0000-00-00 00:00:00",Larry
2267,Earlylds,S213,"FHL Film #  944167",,"USA - Vermont - Town records, 1788-1843","Saint Johnsbury Vermont Town Clerk","Salt Lake City, Utah : Filmed by the Genealogical Society of Utah, 1951, 1973, 1993-1994",,,,,REPO4,"0000-00-00 00:00:00",Larry
2265,Earlylds,S211,"929.273 Sn61b",,"Book - Valiant in the Faith : Gardner and Sarah Snow and Their Family","Archibald F. and Ella M. Bennett and Barbara Bennett Roach","Murray, Utah : Roylance Publishing, c1990",,,,,REPO4,"0000-00-00 00:00:00",Larry
2264,Earlylds,S210,"mcd/C S69/B6",,"Newspaper - Boston Transcript Genealogy Newspaper Columns: Clippings of June 6, 1896 - April 30, 1941",,,,,,,REPO13,"0000-00-00 00:00:00",Larry
2258,Earlylds,S204,,,"LDS - Miller File","Miller, Rowena",,,,,,REPO7,"0000-00-00 00:00:00",Larry
2240,Earlylds,S186,,,"Database - Pedigree Resource File","Church of Jesus Christ of Latter-day Saints","Intellectual Reserve, Inc., Salt Lake City, Utah, 2001",,,,,REPO4,"0000-00-00 00:00:00",Larry
2237,Earlylds,S183,,,"Internet Link - Utah, Cemeteries and Burials Database","Utah State Historical Society",,,,,,REPO12,"2008-10-23 04:13:33",Larry
2239,Earlylds,S185,,,"Book - Profile of Latter-day Saints of Kirtland, Ohio and Members of Zion's Camp, 1830-1839; vital stats and sources","Backman, Milton V., Jr., Compiler","Brigham Young University, Provo, Utah, 1982",,,,,REPO3,"2008-10-24 02:22:24",Larry
2234,Earlylds,S180,,,"Book - Nauvoo Temple Officers and Laborers",,,,,,,REPO7,"0000-00-00 00:00:00",Larry
2199,Earlylds,S145,,,"LDS - Nauvoo Death Records",,,,,,,REPO7,"0000-00-00 00:00:00",Larry
2181,Earlylds,S127,,,"Book - Nauvoo Deaths and Marriages, 1839-1845","Cook, Lyndon W.","Grandin Book Company, Orem, Utah, 1994",,,,,REPO2,"0000-00-00 00:00:00",Larry
2175,Earlylds,S121,,,"Book - Conquerors of the West:  Stalwart Mormon Pioneers, 4 vols.","Youngberg, Florence C., Compiler","Sons of the Utah Pioneers, 1999",,,,,REPO2,"0000-00-00 00:00:00",Larry
2154,Earlylds,S100,,,"LDS - Seventies Ordained Before 1850, Autobiographies",,"LDS Church Archives",,,,,REPO3,"0000-00-00 00:00:00",Larry
2155,Earlylds,S101,,,"Database - Writings of Early Latter-day Saints and their Contemporaries","Backman, Milton V., Jr., Compiler",,,,,,REPO3,"0000-00-00 00:00:00",Larry
2144,Earlylds,S90,,,"LDS - Mount Pisgah Monument","Church of Jesus Christ of Latter-day Saints",1888,,,,,REPO11,"0000-00-00 00:00:00",Larry
2136,Earlylds,S82,,,"Book - Mormon Battalion: US Army of the West, 1846-1848","Ricketts, Norma Baldwin",,,,,,REPO2,"0000-00-00 00:00:00",Larry
2131,Earlylds,S77,,,"USA - Nebraska - Winter Quarters & Mt. Pisgah Burial & Death Records",,,,,,,REPO3,"0000-00-00 00:00:00",Larry
2129,Earlylds,S75,,,"Internet Link - Pottawattamie County Information",,,,,,,REPO10,"2008-10-23 04:10:55",Larry
2127,Earlylds,S73,,,"Article - ""Tragedy at Winter Quarters, Alphabetical Listing of Saints""","Jenson, Andrew","Salt Lake Deseret News, 5 Sep-7 Nov 1936",,,,,REPO4,"0000-00-00 00:00:00",Larry
2128,Earlylds,S74,,,"Internet Link - RootsWeb WorldConnect Family Trees",,,,,,,REPO9,"2008-10-23 04:11:34",Larry
2125,Earlylds,S71,,,"Database - Nauvoo Databank",,,,,,,REPO6,"0000-00-00 00:00:00",Larry
2115,Earlylds,S61,,,"LDS - High Priests, Nauvoo and Salt Lake",,,,,,,REPO3,"0000-00-00 00:00:00",Larry
2114,Earlylds,S60,,,"LDS - Early High Priests, Autobiographies",,,,,,,REPO3,"0000-00-00 00:00:00",Larry
2112,Earlylds,S58,,,"Book - LDS Biographical Encyclopedia, 4 vols","Jenson, Andrew","Andrew Jenson History Co., Salt Lake City, Utah, 1901",,,,,REPO2,"0000-00-00 00:00:00",Larry
2110,Earlylds,S56,,,"RLDS - Early Members of the Reorganized Church of Jesus Christ of Latter Day Saints, 6 vols.","Susan Easton Black, compiler",,,,,,REPO3,"0000-00-00 00:00:00",Larry
2103,Earlylds,S49,,,"LDS - 1842 Nauvoo LDS Census","Church of Jesus Christ of Latter-day Saints",,,,,,REPO7,"0000-00-00 00:00:00",Larry
2097,Earlylds,S43,,,"Book - Pioneers of 1847","Black, Susan Easton, Compiler","Provo, Utah 1980",,,,,REPO2,"0000-00-00 00:00:00",Larry
2094,Earlylds,S40,,,"Book - Mormon Redress Petitions - Documents of the 1833-1838 Missouri Conflict","Johnson, Clark V., Editor","Religious Studies Center Monograph Series, Vol 16, Brigham Young University, Provo, Utah",,,,,REPO3,"0000-00-00 00:00:00",Larry
2093,Earlylds,S39,,,"Book - Winter Quarters Wards Membership Lists 1846 - 1848","Historical Department Church of Jesus Christ of Latter-day Saints",,,,,,,"2010-09-22 19:20:05",FoxGen
2091,Earlylds,S37,,,"USA - 1870 United States Census","US Census Bureau",,,,,,REPO8,"0000-00-00 00:00:00",Larry
2090,Earlylds,S36,,,"USA - 1860 United States Census","US Census Bureau",,,,,,REPO8,"0000-00-00 00:00:00",Larry
2089,Earlylds,S35,,,"Internet Link - Ancestral File","The Church of Jesus Christ of Latter-day Saints","Copyright (c) 1987, June 1998",,,,,REPO1,"2008-10-23 03:47:00",Larry
2088,Earlylds,S34,,,"Book - History of the Nauvoo Legion in Illinois","Sweeney, John, Jr.","MA Thesis, Brigham Young University",,,,,REPO2,"0000-00-00 00:00:00",Larry
2087,Earlylds,S33,,,"LDS - Seventies: Early Seventies","Black, Harvey Bischoff, Compiler and Editor",,,,,,REPO3,"0000-00-00 00:00:00",Larry
1487,Earlylds,S54091,,,"Internet Link - Pioneer Overland Travel, 1847 - 1868",,,,,,,REPO1,"2011-01-29 13:53:10",FoxGen
2082,Earlylds,S28,,,"LDS - Nauvoo Marriage Record","Nauvoo Restoration Incorporated",,,,,,REPO7,"0000-00-00 00:00:00",Larry
2079,Earlylds,S25,,,"USA - Illinois - Hancock County Marriage Index, 1829-1849","Tri-County Genealogical Society, compiler",1983,,,,,REPO7,"0000-00-00 00:00:00",Larry
2077,Earlylds,S23,,,"Family Records",,"Submitted by patrons to Land and Records Office",,,,,REPO7,"0000-00-00 00:00:00",Larry
2076,Earlylds,S22,,,"LDS - Early Mormon Records",,,,,,,REPO7,"0000-00-00 00:00:00",Larry
2075,Earlylds,S21,,,"LDS - List of Known Dead Buried in Old Nauvoo Burial Ground",,,,,,,REPO6,"0000-00-00 00:00:00",Larry
2072,Earlylds,S18,,,"Book - Guide to Mormon Diaries","Bitton, Davis",,,,,,REPO2,"0000-00-00 00:00:00",Larry
2073,Earlylds,S19,,,"Book - Pioneers and Prominent Men of Utah, 2 vols","Esshom, Frank","Salt Lake City:  1913",,,,,REPO4,"0000-00-00 00:00:00",Larry
2069,Earlylds,S15,,,"USA - 1850 United States Census","US Census Bureau",,,,,,REPO8,"0000-00-00 00:00:00",Larry
2067,Earlylds,S13,,,"Internet Link - Pioneer Research Group Project - http://www.pioneerresearchgroup.org",,,,,,,REPO5,"2008-10-23 04:10:16",Larry
2066,Earlylds,S12,,,"Internet Link - BYU Winter Quarters Project - http://winterquarters.byu.edu",,,,,,,,"2008-10-23 03:51:30",Larry
2064,Earlylds,S10,,,"Periodical - The Nauvoo Journal",,"Salt Lake City, Utah, 1989-1999",,,,,REPO2,"0000-00-00 00:00:00",Larry
2065,Earlylds,S11,,,"Book - Treasures of Pioneer History, 6 vols.","Carter, Kate B., Compiler","Daughers of the Utah Pioneers, Salt Lake City, Utah, 1952-1957",,,,,REPO3,"0000-00-00 00:00:00",Larry
2063,Earlylds,S9,,,"Book - Pioneer Women of Faith and Fortitude, 4 vols","International Society of Daughters of the Utah Pioneers","Salt Lake City, Utah, 1998",,,,,REPO2,"0000-00-00 00:00:00",Larry
2062,Earlylds,S8,,,"Book - Our Pioneer Heritage, 20 vols.","Daughters of the Utah Pioneers","Salt Lake City: 1958-1977",,,,,REPO3,"0000-00-00 00:00:00",Larry
2061,Earlylds,S7,,,"LDS - Nauvoo Temple Endowment Register","Church of Jesus Christ of Latter-day Saints",1845-1846,,,,,REPO4,"0000-00-00 00:00:00",Larry
2060,Earlylds,S6,,,"LDS - Membership of The Church of Jesus Christ of Latter-day Saints:1830-1848, 50 vols.","Black, Susan Easton, Compiler","LDS Church, Salt Lake City, 1990",,,,,REPO4,"0000-00-00 00:00:00",Larry
2059,Earlylds,S5,,,"Book - Heart Throbs of the West, 12 vols.","Carter, Kate B., compiler","Daughters of the Utah Pioneers, Salt Lake City, Utah, 1939-1951",,,,,REPO3,"0000-00-00 00:00:00",Larry
2058,Earlylds,S4,,,"Book - Annotated Record of Baptisms for the Dead, Nauvoo, 7 vols.","Black, Susan Easton","Brigham Young University, Provo, Utah 84602",,,,,REPO2,"0000-00-00 00:00:00",Larry
2057,Earlylds,S3,,,"LDS - Iowa Branches Members Index 1829 - 1859, Volumes I and II","Watt, Ronald G.","Historical Department Church of Jesus Christ of Latter-day Saints 1991,",,,,,,"0000-00-00 00:00:00",Larry
2056,Earlylds,S2,,,"Internet Link - International Genealogical Index","The Church of Jesus Christ of Latter-day Saints",,,,,,REPO1,"2008-10-23 04:03:48",Larry
2337,Earlylds,S283,,,"USA - Nebraska - Winter Quarters Tombstone Inscriptions","Pioneer Research Group",,,,,,REPO14,"0000-00-00 00:00:00",Larry
2373,Earlylds,S319,"929.273 Sn61g 1996",,"Book - History of the William Snow and Robert Gardner families : pioneers of 1847 and 1850","Celestia Snow Gardner","BYU Press, 1996",,,,,REPO4,"0000-00-00 00:00:00",Larry
2379,Earlylds,S325,,,"Book - An Enduring Legacy","Pearce, Louise B., Editor","Daughters of the Utah Pioneers, Salt Lake City, Utah, 1985",,,,,REPO2,"0000-00-00 00:00:00",Larry
2380,Earlylds,S326,,,"LDS - History of the Church, 7 Vols.","Roberts, Brigham Henry, Editor","Deseret Book, Salt Lake City, Utah, 1976-1980",,,,,REPO2,"0000-00-00 00:00:00",Larry
2381,Earlylds,S327,,,"LDS - Morley Settlement File",,"Land and Records Office",,,,,REPO7,"0000-00-00 00:00:00",Larry
2402,Earlylds,S348,,,"Internet Link - ""The 'Tabernacle Post Office' Petition for the Saints of Kanewville, Iowa""",,"Mormon Historical Studies, Vol 5, No. 1, Spring 2004",,,,,,"0000-00-00 00:00:00",Larry
2532,Earlylds,S478,,,"LDS - Women's Exponent","Church of Jesus Christ of Latter-day Saints","Early LDS Periodical published from 1872-1914",,,,,REPO2,"0000-00-00 00:00:00",Larry
2545,Earlylds,S491,,,"Book - Sacred Places Ohio and Illinois","Berrett, LaMar C., Editor","Deseret Book Company, Salt Lake City, Utah, 2002",,,,,REPO2,"0000-00-00 00:00:00",Larry
2546,Earlylds,S492,,,"Internet Link - ""A Room of Round Logs with a Dirt Roof:  Ute Perkins' Stewardship to Look after Mormon Battalion Families","Eugene H. Perkins and Waldo C. Perkins","Mormon Historical Studies, Vol 1, No. 1, Spring 2000",,,,"On 17 July 1846, 89 bishops were called to look after the wives and families of the Mormon Battalion.",REPO2,"2008-10-23 04:00:20",Larry
2598,Earlylds,S544,,,"LDS - Times and Seasons, 6 vols.","Church of Jesus Christ of Latter-day Saints","Early LDS Periodical published in Nauvoo, Illinois, 1839-1846",,,,,REPO3,"0000-00-00 00:00:00",Larry
2628,Earlylds,S574,,,"Internet Link - The Cemetery Record of William D, Huntiington, Nauvoo Sexton","Woods, Fred E.","Mormon Historical Studies, Vol 3, No. 1, Spring 2002",,,,,REPO2,"2008-10-23 03:02:32",Larry
2629,Earlylds,S575,,,"Book - Cemeteries of Hancock County","Trapp, Michael?",,,,,,,"0000-00-00 00:00:00",Larry
2630,Earlylds,S576,,,"Manuscript - Nauvoo Deaths and Burials",,,,,,,,"0000-00-00 00:00:00",Larry
2634,Earlylds,S580,,,"Book - Women and Children of the Mormon Battalion",,,,,,,REPO2,"0000-00-00 00:00:00",Larry
2636,Earlylds,S582,,,"USA - 1880 United States Census","US Census Bureau; Data entered by The Church of Jesus Christ of Latter-day Saints","Copyright (c) 2000, 2002 FamilySearch (TM) Internet Genealogy Service",,,,,REPO1,"0000-00-00 00:00:00",Larry
2655,Earlylds,S601,,,"Internet Link - ""This Institution Is a Good One: The Female Relief Society of Nauvoo, 17 March 1842 to 16 March 1844""","Maurine Carr Ward","Mormon Historical Studies,  Fall 2002",,,,,,"0000-00-00 00:00:00",Larry
2822,Earlylds,S768,,,"LDS - Temple Index Bureau Card File","Church of Jesus Christ of Latter-day Saints",,,,,,REPO4,"0000-00-00 00:00:00",Larry
2827,Earlylds,S773,,,"Book - Old Mormon Nauvoo 1839-1846","Holzapfel, Richard N. and T. Jeffery Cottle","Grandin Book Company, Provo, Utah, 1990",,,,,REPO2,"0000-00-00 00:00:00",Larry
2830,Earlylds,S776,,,"Database - Utah Death Index, 1905-1951",,,,,,,REPO8,"0000-00-00 00:00:00",Larry
2944,Earlylds,S890,,,"Book - Who's Who in the Doctrine and Covenants","Black, Susan Easton",,,,,,REPO2,"0000-00-00 00:00:00",Larry
2945,Earlylds,S891,,,"Periodical - Mormon Historical Studies","Maurine Carr Ward, editor","Mormon Historic Sites Foundation",,,,,REPO2,"0000-00-00 00:00:00",Larry
2991,Earlylds,S937,,,"Manuscript - Biographies of the Mormon Battalion","Black, Susan Easton and Larry C. Porter",Unpublished,,,,,REPO3,"0000-00-00 00:00:00",Larry
3026,Earlylds,S972,,,"USA - 1840 United States Census","US Census Bureau",,,,,,REPO8,"0000-00-00 00:00:00",Larry
3118,Earlylds,S1064,,,"Database - Utah Cemetery Inventory","Utah State Historical Society, comp.","Salt Lake City, UT: 2000.",,,,,REPO8,"0000-00-00 00:00:00",Larry
3195,Earlylds,S1141,,,"Book - History of Joseph Smith by His Mother","Smith, Lucy Mack","Bookcraft, Salt Lake City, Preston Nibley, Editor 1901",,,,,REPO2,"0000-00-00 00:00:00",Larry
3196,Earlylds,S1142,,,"Book - Early Missionary Journeys","Black, Susan Easton",,,,,,REPO2,"0000-00-00 00:00:00",Larry
3198,Earlylds,S1144,"BX 8670.07 .Sm625",,"Book - Mary Bailey","Smith, Ruby Kate","Salt Lake City, Deseret Book, 1954",,,,,REPO2,"0000-00-00 00:00:00",Larry
3200,Earlylds,S1146,,,"LDS - Nauvoo Neighbor, 3 vols.","Taylor, John and Wilford Woodruff, Editors","Nauvoo, Illinois, 1843-1845",,,,,REPO2,"0000-00-00 00:00:00",Larry
3265,Earlylds,S1211,,,"Internet Link - The US Mormon Batallion, Inc.","Carl V. Larson",,,,,,REPO16,"2008-10-23 04:12:53",Larry
3359,Earlylds,S1305,,,"Book - Chronicles of Courage, 8 vols.",,"Daughters of the Utah Pioneers, 1990-1997",,,,,REPO2,"0000-00-00 00:00:00",Larry
3482,Earlylds,S1428,,,"Manuscript - Hancock County Cemeteries",,,,,,,REPO7,"0000-00-00 00:00:00",Larry
3535,Earlylds,S1481,,,"RLDS - Early Reorganization Minutes 1872-1905",,,,,,,REPO3,"0000-00-00 00:00:00",Larry
3643,Earlylds,S1589,,,"LDS - Nauvoo, Members, List of,  who arrived after 1841",,,,,,,REPO7,"0000-00-00 00:00:00",Larry
3836,Earlylds,S1782,,,"LDS - The Wasp",,"Early LDS Periodical published in Nauvoo, Illinois",,,,,,"0000-00-00 00:00:00",Larry
3923,Earlylds,S1869,,,"LDS - Millenial Star",,"Early LDS Periodical published in England",,,,,REPO2,"0000-00-00 00:00:00",Larry
3956,Earlylds,S1902,,,"Book - History of Utah, 4 vols.","Whitney, Orson F.","George Q. Cannon and Sons, Publishers, 1904",,,,,REPO2,"0000-00-00 00:00:00",Larry
3997,Earlylds,S1943,,,"Database - Sons of Utah Pioneers Memorial Gallery Index Cards","Sons of Utah Pioneers",,,,,,REPO8,"0000-00-00 00:00:00",Larry
3999,Earlylds,S1945,,,"Database - Iowa Cemetery Records","Works Progress Administration",,,,,,REPO8,"0000-00-00 00:00:00",Larry
4008,Earlylds,S1954,,,"Internet Link - Eastern Idaho Death Records","BYU Idaho",,,,,,REPO17,"2008-10-23 03:58:19",Larry
4009,Earlylds,S1955,,,"Database - Pioneer Immigrants to Utah Territory","Sons of the Utah Pioneers",,,,,,REPO8,"0000-00-00 00:00:00",Larry
4010,Earlylds,S1956,,,"Internet Link - Early Utah Pioneers - Levi Hammon and Polly Chapman Bybee","Betsy Robena H. Greenwell","Kaysville, Utah : Inland Printing, [1964?]",,,,,,"2008-10-23 03:57:40",Larry
4227,Earlylds,S2173,"929.273 R569a",,"Book - The Illustrious Robisons, 2 vols","Matheson, Veldron Robison",1907,,,,,REPO4,"0000-00-00 00:00:00",Larry
4327,Earlylds,S2273,,,"Periodical - BYU Studies",,"Brigham Young University, Provo, Utah",,,,,REPO2,"0000-00-00 00:00:00",Larry
4523,Earlylds,S2469,,,"Book - Women's Voices:  An Untold History of the Latter-day Saints, 1830â€“1900","Godfrey, Kenneth W. and Godfrey, Audrey, compilers and editors","Deseret Book, Salt Lake City, Utah, 1982",,,,,REPO2,"0000-00-00 00:00:00",Larry
4562,Earlylds,S2508,"BX 8670 .M454f 1999",,"Book - Five Hundred Wagons Stood Still: Mormon Batallion wives","Maynes, Shirley N.","Sandy, Utah : S. Maynes, c1999
.",,,,,REPO2,"0000-00-00 00:00:00",Larry
4563,Earlylds,S2509,,,"Book - Database of the Mormon Battalion","Larson, Carl V.",,,,,,,"0000-00-00 00:00:00",Larry
4564,Earlylds,S2510,,,"Article - ""Snow Family. 'Farr Ancestry'""","Stone, Merlin J., b. 1853","From ""The Commonwealth."", 1898",,,,,REPO18,"0000-00-00 00:00:00",Larry
4707,Earlylds,S2653,,,"Book - The Women of Mormondom","Tulidge, Edward Wheelock","Salt Lake City, Utah, 1877; reprinted 1957",,,,,REPO2,"0000-00-00 00:00:00",Larry
4740,Earlylds,S2686,,,"LDS - Kirtland Elders' Record","Cook, Lyndon W. and Milton V. Backman, Jr., Editors","Grandin Books, Provo, Utah, 1985",,,,,REPO3,"0000-00-00 00:00:00",Larry
4984,Earlylds,S2930,"Filmed 1968, 1973 on 248 microfilm reels",,"LDS - Journal History of the Church, 1830-1973","Church Historian's Office","LDS Church Family History Department",,,,,REPO4,"0000-00-00 00:00:00",Larry
4993,Earlylds,S2939,,,"Database - Missouri, Far West Burial Ground","Riggs, Michael and Leslie Brooks","Far West Cultural Center, Far West, Missouri",,,,,REPO19,"0000-00-00 00:00:00",Larry
4994,Earlylds,S2940,,,"Book - Reminiscences of Latter-day Saints","Littlefield, Lyman Omer - Autobiography","Utah Journal Co., Logan, Utah, 1888",,,,,REPO3,"0000-00-00 00:00:00",Larry
